,位置,地铁,小区,房屋户型,房屋朝向,月租金,楼层,面积
235,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
236,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
237,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
238,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
239,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
240,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
241,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
242,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
243,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
244,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
245,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
246,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
247,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
248,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
249,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
250,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
251,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
252,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
253,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
254,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
255,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
256,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
257,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
258,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
259,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
260,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
261,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
262,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
263,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
264,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
265,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
266,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
267,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
268,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
269,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
270,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
271,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
272,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
273,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
274,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
275,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
276,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
277,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
278,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
279,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
280,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
281,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
282,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
283,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
284,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
285,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
286,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
287,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
288,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
289,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
290,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
291,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
292,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
293,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
294,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
295,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
296,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
297,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
298,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
299,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
300,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
301,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
302,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
303,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
304,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
305,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
306,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
307,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
308,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
309,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
310,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
311,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
312,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
313,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
314,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
315,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
316,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
317,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
318,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
319,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
320,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
321,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
322,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
323,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
324,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
325,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
326,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
327,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
328,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
329,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
330,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
331,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
332,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
333,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
334,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
335,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
336,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
337,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
338,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
339,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
340,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
341,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
342,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
343,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
344,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
345,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
346,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
347,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
348,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
349,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
350,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
351,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
352,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
353,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
354,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
355,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
356,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
357,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
358,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
359,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
360,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
361,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
362,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
363,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
364,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
365,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
366,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
367,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
368,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
369,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
370,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
371,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
372,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
373,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
374,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
375,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
376,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
377,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
378,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
379,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
380,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
381,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
382,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
383,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
384,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
385,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
386,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
387,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
388,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
389,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
390,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
